id,ADP,WEIGHTED AGGREGATE RANK,DELTA %,PLAYER,POSITION
15833c9f-ca03-47c6-8823-6fa04bfa488c,61.5,62.4,-1.44%,Trevor Lawrence,QB
4eab07f1-2222-4c37-88ef-1528e8acf71c,62.2,65.2,-4.60%,Brandon Aiyuk,WR
82a8010c-7c59-4e50-9e78-cbeb3450de3f,62.6,72.7,-13.89%,Joe Mixon,RB
9f5b0d40-e6bd-4e1f-8012-4618c525795a,63.6,57,11.58%,Kyle Pitts,TE
34634ea9-cc87-44d1-8f4b-1223d3e79ca8,65.5,56.5,15.93%,Mike Evans,WR
edc95505-1431-4de0-a5da-a770832fd0f9,67.4,77.3,-12.81%,Dalvin Cook,RB
fa751016-fd7d-4912-903c-97ee3d2b11ca,67.5,63.2,6.80%,Dallas Goedert,TE
1e3e353e-149b-4c1b-bbc4-4d50a790cc95,67.5,71.7,-5.86%,Tyler Lockett,WR
e80fb811-a2b9-4a0f-b3fd-40304e750bdc,69.9,70.9,-1.41%,D'Andre Swift,RB
dfbff0a5-39bd-4795-ae62-76b4612bb9a4,70.1,70.2,-0.14%,Jordan Addison,WR
144c2dee-87e3-458e-b4a9-13ca62c40785,71.2,77.4,-8.01%,Isiah Pacheco,RB
84ad2b4c-d17d-4cec-ac8e-829dc85667ce,71.4,80.4,-11.19%,Kadarius Toney,WR
79896092-1c4a-4445-86ff-2670db9906b7,72.1,68.6,5.10%,George Pickens,WR
b9544710-4110-4ca8-abc8-1ccdbf063733,75.5,79.4,-4.91%,Cam Akers,RB
ff4ef1cf-2a71-41fd-86e2-42d21c68e372,76,64.3,18.20%,Marquise Brown,WR
b28386c8-9998-41f9-a85f-a71087e2dd28,76.1,71.6,6.28%,Treylon Burks,WR
f972efea-fc24-43fd-934b-c7a981cd9001,77.4,65.3,18.53%,Diontae Johnson,WR
79b4f939-47d4-44b5-842d-d3da4374b01b,78.2,86.4,-9.49%,Darren Waller,TE
6e9d5a50-cfaf-434a-89c2-611205d8ae59,78.7,87.2,-9.75%,Rachaad White,RB
28a2b1ff-5101-4b44-9f9e-ea791babcb55,79.8,92.7,-13.92%,Gabriel Davis,WR
0d321a88-f2ee-4970-9c7f-65e18e4c7c23,82.9,65.7,26.18%,Deshaun Watson,QB
b870c57f-2831-4f38-b451-28f9d917d5cb,82.9,82.2,0.85%,Brandin Cooks,WR
84b17abb-6ae9-47d9-b7b6-2587604b0aef,83.7,87.9,-4.78%,James Conner,RB
58bd069e-bb3f-4b32-a4f0-a1d74d0541a0,84.5,78.1,8.19%,Jahan Dotson,WR
56969625-9736-4a9a-b063-1f0db4497ad9,86,93.1,-7.63%,Anthony Richardson,QB
5d414c61-8f73-4b9a-9662-2f21943d6c9a,86.3,83,3.98%,Quentin Johnston,WR
dc7adb54-2507-483d-9b01-a6d5dd228c28,86.8,87.7,-1.03%,David Montgomery,RB
a1bd905c-45d2-4d0b-9788-876e3027fa27,89.3,92.2,-3.15%,Alexander Mattison,RB
60c5a692-f99f-4e52-9ea3-6f9dab5600d1,89.5,101.2,-11.56%,Zay Flowers,WR
9d442367-5f0a-438c-91d3-35dba79ccb50,89.6,92.7,-3.34%,Javonte Williams,RB
cfdbb646-16bb-4ded-b610-7302bf407fcc,91,85.3,6.68%,Dak Prescott,QB
3cb1018f-bbae-4dfc-94d7-1c9bb09a5252,91.1,95.4,-4.51%,Evan Engram,TE
ad172ce7-09d9-41dc-a799-ba82aafef358,93.8,108.1,-13.23%,Michael Thomas,WR
dc079327-30f7-4d37-a636-698749f0fbc0,94.2,82.8,13.77%,James Cook,RB
1ef59f98-705a-418d-afdc-1d5447d244db,95.3,107,-10.93%,Courtland Sutton,WR
80d273d3-a9e7-44f4-a317-01c7b7e985d6,95.6,83.9,13.95%,Tua Tagovailoa,QB
4ee73805-f977-4349-ae03-38d5ed9f099d,98,95.3,2.83%,Rashod Bateman,WR
b5eeec09-e02e-42f8-a16a-99735d78e465,99,107.6,-7.99%,Alvin Kamara,RB
48513f49-edee-4d41-bd20-2f44f30e3cb4,99.9,96.3,3.74%,Kirk Cousins,QB
310183e8-b412-41fa-af9c-134fa3f5a125,101.1,106.5,-5.07%,Jameson Williams,WR
734bbf1c-6f72-4e15-9852-cfea529fe459,102.1,88.8,14.98%,Daniel Jones,QB
bd9a2f2c-af2f-4f3d-8d25-26602d411e91,102.8,115.8,-11.23%,Zach Charbonnet,RB
dd3f37f4-e7ee-43f9-b849-5641ab72c9e4,104.1,100.6,3.48%,David Njoku,TE
adae4634-4b0a-4b9b-8ba5-6f3374b2e601,104.3,108.8,-4.14%,Elijah Moore,WR
2b5c25b2-f255-4fae-83b1-5177ea35816d,104.8,104.2,0.58%,AJ Dillon,RB
7627926b-992b-4aae-b048-cb000aa92dcf,105.6,92.8,13.79%,Brian Robinson Jr.,RB
f9ea8d30-55f0-45c5-a032-f4ac137694e8,106.9,127.1,-15.89%,JuJu Smith-Schuster,WR
b1a1d839-69bf-4148-bd63-7fcd0268562d,108.1,148.8,-27.35%,Odell Beckham,WR
8aef1942-8dbc-43ee-b258-43278cc8a5a3,109.5,103.7,5.59%,Aaron Rodgers,QB
1d19ab55-ac24-48cb-8259-ac3adcc4680f,109.6,97.8,12.07%,Pat Freiermuth,TE
8020aad1-3d6c-4d73-a8d8-96aed3b331f0,111,103.9,6.83%,Devon Achane,RB
1a4aecc1-e7e3-49d5-9e5e-c7176e25d1de,111.9,115.4,-3.03%,Geno Smith,QB
73579df5-ce74-46a7-bcd8-cb9888a6b358,112.3,128.1,-12.33%,Allen Lazard,WR
89b28392-eb83-4f7c-8bf8-a0a2143a0073,113.9,101,12.77%,Rashaad Penny,RB
e9512fc1-9ee1-4405-ba24-5ec523a5b4f1,115,104.5,10.05%,Samaje Perine,RB
d597e75e-04e0-418e-a733-87da70ebb889,115.9,120.3,-3.66%,Dalton Kincaid,TE
e7be0027-bca8-4405-b228-a1c64d684974,116.4,112.9,3.10%,Jakobi Meyers,WR
28ced388-5ab4-4126-a0aa-daed6e67e879,116.6,131.8,-11.53%,Tyler Boyd,WR
078eb70d-7dc2-4d6d-b5c8-0affb320a385,118.2,123.7,-4.45%,Damien Harris,RB
3d5ab343-e4c9-44a9-9804-f9cbaefb18e4,121.3,117.5,3.23%,Jared Goff,QB
6c65b88a-a8cb-40ff-9365-82ecd3458fa3,122.1,114.9,6.27%,Khalil Herbert,RB
bce9109d-c6b2-4e79-814e-71bdca881a51,123.1,137.3,-10.34%,Darnell Mooney,WR
8bd1be0d-4a00-4c7e-9f22-4751d869f16c,124.1,131.6,-5.70%,Skyy Moore,WR
15d37efb-6a8e-4185-9737-49a1eefb77ac,124.9,119.4,4.61%,Zay Jones,WR
a69c57fe-9fd1-4f04-98f2-aacb930b72f6,126,139.5,-9.68%,Jamaal Williams,RB
e95e5b3d-3e68-4737-8967-c81be986af07,126.7,117.5,7.83%,Elijah Mitchell,RB
78fa3e9c-5a03-440d-9f90-d7209d488226,127.5,136.7,-6.73%,Jonathan Mingo,WR
95350b65-e45a-4ce1-9e37-25b2dc23cab2,128.2,120.1,6.74%,Dalton Schultz,TE
130207c3-3d1a-47c6-87a2-135d9fb2c135,128.8,139,-7.34%,Rashee Rice,WR
6339b236-1a48-4332-a0b4-31a0ebecadc8,129.3,131.3,-1.52%,Russell Wilson,QB
face21ca-627f-4266-aa1f-9afbeee48c3e,129.6,126.1,2.78%,Antonio Gibson,RB
bff80129-e274-4679-a027-5d70ae0d0f46,130.9,146.1,-10.40%,Jerick McKinnon,RB
00f1d145-647e-45d6-bf7b-473e62d16fc7,131.8,144.1,-8.54%,Chigoziem Okonkwo,TE
bdeab3cc-4f61-472d-9423-732c34ec425c,134.4,169.6,-20.75%,Adam Thielen,WR
16116fd2-d886-4614-a0ef-83bc6fda67c9,135.4,125.4,7.97%,Kendre Miller,RB
31268507-a7f5-45b3-84f2-229f92fbdabf,136.4,138.9,-1.80%,Cole Kmet,TE
fcf7b417-1745-40bd-ac70-7e9cf62741c7,138.8,147,-5.58%,Kyler Murray,QB
c4cc67cf-6159-4c32-a50a-76b0bdb88609,140.2,154.4,-9.20%,Jalin Hyatt,WR
f848c12a-ea88-4f63-b9f4-8d2e2ed00e0e,141.2,146.3,-3.49%,Roschon Johnson,RB
