Name,Team,Pos,P Rk,Rookie,Rank,ADP,+/-,id
Jaleel McLaughlin,DEN,RB,RB40,,133,156.0,23.0,179ff4a3-138f-4c89-8b00-b3f5750d8f0e
Khalil Herbert,CHI,RB,RB41,,134,143.5,9.5,b0f9829d-6a7c-4414-8e6c-c4dfa21ebff8
Luke Musgrave,GB,TE,TE15,,135,130.4,-4.6,05019007-1f0a-4714-b854-c83c85965b68
Dalton Schultz,HOU,TE,TE16,,136,130.8,-5.2,ad125c9a-01a9-4536-87f4-9fe9d6c89389
Jahan Dotson,WAS,WR,WR61,,137,119.5,-17.5,f6916894-b138-4de7-b801-a97198d61ead
Jayden Daniels,FA,QB,QB20,Rookie,138,120.2,-17.8,dfd5aac5-5e3f-4c96-8a82-e315d1cc95e7
Trey Benson,FA,RB,RB42,Rookie,139,139.3,0.3,3740ba95-1373-4e01-823e-fd9eef671283
Jerome Ford,CLE,RB,RB43,,140,136.5,-3.5,2a0116db-ce61-4bae-af1f-101161898079
Darren Waller,NYG,TE,TE17,,141,147.7,6.7,ca1e76c6-4f9c-45ff-b938-0167aa0cf4b0
Aaron Rodgers,NYJ,QB,QB21,,142,141.1,-0.9,da3b961b-d886-4682-acd3-3a372c43444b
Kirk Cousins,MIN,QB,QB22,,143,135.7,-7.3,592cb585-ab88-4f8e-8d5a-ab403da412db
Tyler Allgeier,ATL,RB,RB44,,144,165.9,21.9,8c990128-91a9-4ab6-bb4d-856eea394f1d
Audric Estime,FA,RB,RB45,Rookie,145,163.9,18.9,eb1cb870-1af4-42f5-be57-66a016cab82f
Braelon Allen,FA,RB,RB46,Rookie,146,156.3,10.3,32e53893-6d4b-4d7a-94e6-1db4a526a790
Bucky Irving,FA,RB,RB47,Rookie,147,150.2,3.2,ee9013b3-0f08-462d-9ba6-31b88cbc7cea
Blake Corum,FA,RB,RB48,Rookie,148,130.2,-17.8,41b7ceb0-de93-4dd2-8b11-2a3459d792b5
Ladd McConkey,FA,WR,WR62,Rookie,149,137.6,-11.4,46aa2433-5994-418f-8688-9c19aeb2d5d8
Devontez Walker,FA,WR,WR63,Rookie,150,182.4,32.4,9fdd6c56-62f9-4031-a382-f36af18e9d0e
Ja'Lynn Polk,FA,WR,WR64,Rookie,151,168.6,17.6,b21097ef-f239-48a9-a611-0726f34af553
Demario Douglas,NE,WR,WR65,,152,163.4,11.4,861b6440-eeaa-40d8-a029-8c9211fccc88
Joshua Palmer,LAC,WR,WR66,,153,150.1,-2.9,a6c6d926-5a56-420f-9ff5-a8aefbdf0cdd
Michael Wilson,ARI,WR,WR67,,154,151.7,-2.3,89b5cc72-be2c-4349-8125-24bbe80b52f2
Zay Jones,JAX,WR,WR68,,155,178.1,23.1,acd5456a-caa3-4fb1-a582-2e2fed4f4127
Zack Moss,IND,RB,RB49,,156,161.4,5.4,cd9639f5-a98d-41ce-9c12-cf5163ca536c
Elijah Mitchell,SF,RB,RB50,,157,175.1,18.1,a8386087-be4c-4afb-98c4-6e1f59a6b542
Deshaun Watson,CLE,QB,QB23,,158,150.3,-7.7,b6ef31e0-950b-4131-bbcf-5792550b2faa
Treylon Burks,TEN,WR,WR69,,159,176.0,17.0,23d2a7fe-4fc9-4cd4-b3a0-e7710f52d883
Gabe Davis,BUF,WR,WR70,,160,134.4,-25.6,b54cc721-accd-4d58-a043-0f0c71f1583c
Marvin Mims Jr.,DEN,WR,WR71,,161,156.6,-4.4,ac3cd995-fc42-45c5-8e2f-9c8488ddb47d
Brandin Cooks,DAL,WR,WR72,,162,135.0,-27.0,93fca86b-f02e-48a0-8320-a08ca75fc9a8
Wan'Dale Robinson,NYG,WR,WR73,,163,157.2,-5.8,caefc3d4-84ac-49b8-a4b0-1ab55715c609
MarShawn Lloyd,FA,RB,RB51,Rookie,164,182.9,18.9,1860675b-5528-4697-be5e-75058658b52f
Quentin Johnston,LAC,WR,WR74,,165,147.9,-17.1,fe786653-ff86-4202-958d-3cc41353303f
Ja'Tavion Sanders,FA,TE,TE18,Rookie,166,188.0,22.0,ae350301-bdd1-4da4-a8ad-73fc1c48db19
Daniel Jones,NYG,QB,QB24,,167,173.1,6.1,7d80bcfe-faf0-40c7-af96-4f0387df97f5
Juwan Johnson,NO,TE,TE19,,168,179.4,11.4,144a8266-10f5-425b-b45c-d1b6aa314c40
Michael Mayer,LV,TE,TE20,,169,156.1,-12.9,361dd9d0-10c2-4479-8ddd-d99acc280649
Pat Freiermuth,PIT,TE,TE21,,170,144.2,-25.8,28c55403-f8ec-4d8d-a0f7-28caa9780de0
Baker Mayfield,TB,QB,QB25,,171,153.9,-17.1,f8f74dec-af8b-4652-a423-6f73f5796c58
Kendre Miller,NO,RB,RB52,,172,145.6,-26.4,bbd68e65-f4a0-41b5-8b68-ec1456de52cf
Antonio Gibson,WAS,RB,RB53,,173,196.2,23.2,59bf0a9c-9eb2-4fc4-9f3a-30d543be32f1
Keaton Mitchell,BAL,RB,RB54,,174,162.3,-11.7,0bb346f2-a15c-4ad2-96e5-b31a02583687
Miles Sanders,CAR,RB,RB55,,175,206.2,31.2,10fb5644-d116-4b1f-86f2-f0c3564e7f48
Isaiah Likely,BAL,TE,TE22,,176,165.8,-10.2,f25be341-eb8d-4a23-8eae-c5a7853ec337
Roman Wilson,FA,WR,WR75,Rookie,177,190.9,13.9,93756085-b5ce-4d45-821a-914fa2faf4b8
Trey Palmer,TB,WR,WR76,,178,184.9,6.9,828f6e03-f9cc-4ef5-ab58-d0b47075afd7
Derek Carr,NO,QB,QB26,,179,184.2,5.2,983f2463-a2a9-4d4d-98d7-34a255ef07b9
