Name,Team,Pos,P Rk,Rookie,Rank,ADP,+/-,id
Russell Wilson,DEN,QB,QB33,,233,201.9,-31.1,627e9c2d-de48-4653-8259-5f85c7ddfba4
Justice Hill,BAL,RB,RB71,,234,203.7,-30.3,f6ae73bc-c889-4077-82bf-768c451962bc
Andrei Iosivas,CIN,WR,WR97,,235,202.8,-32.2,31d487b9-66c3-4ac4-af36-df97d256f9ad
Jalen McMillan,FA,WR,WR98,Rookie,236,238.9,2.9,8e2f3bd5-d1df-4a62-be9e-e59956268026
Ainias Smith,FA,WR,WR99,Rookie,237,239.9,2.9,7c4cbb34-3a8c-4c8a-8eec-a2e8c4b656b1
K.J. Osborn,MIN,WR,WR100,,238,235.6,-2.4,b53ac85f-3850-4085-a446-ffb4c6b2bc39
Jaylen Wright,FA,RB,RB72,Rookie,239,224.7,-14.3,fe805ea0-9dc9-433b-a957-bfc14bd6ecbd
Eric Gray,NYG,RB,RB73,,240,239.0,-1.0,c19a7bef-a9f1-41f5-9b1b-f9dae084c32a
Josh Reynolds,DET,WR,WR101,,241,207.7,-33.3,e49872e0-7dd7-4183-a02b-507f89f9d7c2
Tre Tucker,LV,WR,WR102,,242,236.1,-5.9,bd868a22-911a-429d-b56e-6fe8f5154ff5
Parker Washington,JAX,WR,WR103,,243,238.8,-4.2,ac89b6b0-2ada-4773-90a7-7f0cf522f361
Alexander Mattison,MIN,RB,RB74,,244,211.6,-32.4,ba25b5c5-cdaf-4d30-82e0-d37e16341c0d
Ezekiel Elliott,NE,RB,RB75,,245,217.1,-27.9,d3ed99ac-2662-41e0-8caa-16cda759ed2b
A.T. Perry,NO,WR,WR104,,246,220.3,-25.7,44cb678d-80a6-4643-8c71-ed50127cdbef
Gerald Everett,LAC,TE,TE35,,247,222.7,-24.3,2e072703-50fb-417c-8fc8-f1d77c5948ca
Darnell Mooney,CHI,WR,WR105,,248,223.5,-24.5,24779999-0976-4bb5-aa92-07a88d7bee57
Malik Washington,FA,WR,WR106,Rookie,249,224.3,-24.7,e48c4750-182a-4dda-b025-5af8b68bbc06
Demarcus Robinson,LA,WR,WR107,,250,225.6,-24.4,414b430c-509b-4ffb-8e26-d6bf9071fbfc
Tutu Atwell,LA,WR,WR108,,251,232.2,-18.8,904e886a-b353-42fc-b71b-e15c6963667c
Allen Lazard,NYJ,WR,WR109,,252,234.2,-17.8,40092c3b-e92d-4e64-bf54-7b7d1775e364
Cody Schrader,FA,RB,RB76,,253,235.0,-18.0,d1d24eeb-34f2-4eaf-b41f-2ad031a4acb4
Kenny Pickett,PIT,QB,QB34,,254,235.0,-19.0,89e2a919-10bb-41fa-84ea-c651ea7e1e4e
Michael Gallup,DAL,WR,WR110,,255,235.2,-19.8,9bbf8c37-8f07-41b7-bcf7-efa3f23c646d
Luke McCaffrey,FA,WR,WR111,Rookie,256,235.3,-20.7,91207104-d108-4430-9a4b-10806d6032ed
Cade Stover,FA,TE,TE36,Rookie,257,236.8,-20.2,627fe2b0-58fd-46bd-a86b-07ab6dce3eb3
Logan Thomas,WAS,TE,TE37,,258,237.1,-20.9,070ae710-5294-4951-8477-230c4f842eed
Javon Baker,FA,WR,WR112,,259,237.1,-21.9,84807e1c-2c99-4a28-8420-ef20394f0de0
Dillon Johnson,FA,RB,RB77,,260,237.2,-22.8,7401bec6-8d59-4eb8-99a5-63f042df3f5f
DJ Chark Jr.,CAR,WR,WR113,,261,237.3,-23.7,7e55a1c0-39f7-408f-bceb-27a417ccaecc
Jaheim Bell,FA,TE,TE38,Rookie,262,237.3,-24.7,09678e86-0702-40db-b4cd-916431b0d2c3
Kendrick Bourne,NE,WR,WR114,,263,237.4,-25.6,018d74d6-61aa-4a11-8dc6-86f22ccd9a98
Dalvin Cook,BAL,RB,RB78,,264,237.6,-26.4,a771d75f-3430-4314-bb45-c1c10d92e2a7
Michael Carter,ARI,RB,RB79,,265,237.7,-27.3,f5430e04-0077-494d-a3ac-08e2d6acc535
Jelani Woods,IND,TE,TE39,,266,238.0,-28.0,8bd8822e-c646-4629-bb76-3479a64f5043
Sam Howell,WAS,QB,QB35,,267,238.1,-28.9,3aad3966-a3b7-4dc4-a159-e15b7eb0ae52
Clyde Edwards-Helaire,KC,RB,RB80,,268,238.2,-29.8,dc8c7375-1da1-4472-ba5a-208c0456fca6
Cedric Tillman,CLE,WR,WR115,,269,238.4,-30.6,b53e3d75-62ac-4ec6-bfc6-d458865c9a19
Kareem Hunt,CLE,RB,RB81,,270,238.4,-31.6,4b5fefe1-5085-4ed7-9b3b-012939f3f917
Tanner Hudson,CIN,TE,TE40,,271,238.6,-32.4,807dae4b-929f-4db6-b3a5-b820341e8f4b
Jeff Wilson Jr.,MIA,RB,RB82,,272,238.6,-33.4,e91f1461-6610-42f9-ba6a-37d3fbe15197
Taysom Hill,NO,QB,QB36,,273,238.7,-34.3,c45ce487-984f-4603-b93f-8839b5ba69b0
Skyy Moore,KC,WR,WR116,,274,238.7,-35.3,8c39254e-bc18-442b-92c5-df00698b8fb4
Jauan Jennings,SF,WR,WR117,,275,238.7,-36.3,8574464e-7973-46fc-8c8c-c9368740bdd1
